Rk,Team,Date,SoT,Cmp,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
396,Burnley,2025-08-23,2,24,18,,Sunderland,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,2,7,0.29,1.00,2,28.6,17.3,0,374,475,78.7,6,27,5,2,39,6102,1976,183,204,89.7,156,180,86.7,24,71,33.8,22,11,11,7,4,7,9,77.8,2,18,5,13,7,29,30,0,Match Report
397,Manchester City,2025-08-23,4,29,8,,Tottenham,eng Premier League,L 0-2,0,2,-2,61,0,0,0,0,0,10,0.00,0.00,4,40.0,16.3,0,488,572,85.3,8,29,8,3,44,7864,2493,231,248,93.1,212,234,90.6,29,61,47.5,20,10,9,8,3,15,23,65.2,8,8,2,6,6,26,23,2,Match Report
398,Brentford,2025-08-23,2,31,20,,Aston Villa,eng Premier League,W 1-0,1,0,+1,24,1,0,0,0,1,9,0.11,0.50,2,22.2,12.6,0,138,205,67.3,5,14,5,2,16,2918,1668,65,74,87.8,36,53,67.9,31,64,48.4,28,15,13,10,5,16,24,66.7,8,20,8,12,11,39,49,0,Match Report
399,West Ham,2025-08-22,4,27,7,,Chelsea,eng Premier League,L 1-5,1,5,-4,42,1,0,0,0,1,12,0.08,0.25,4,33.3,13.6,1,371,440,84.3,10,26,6,2,28,5982,2231,182,196,92.9,143,161,88.8,27,51,52.9,11,6,2,8,1,4,8,50.0,4,7,1,6,7,18,29,2,Match Report
400,Chelsea,2025-08-22,7,32,7,@,West Ham,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,5,12,0.42,0.71,7,58.3,12.3,0,525,613,85.6,7,37,5,0,29,9073,2773,240,264,90.9,251,271,92.6,32,66,48.5,19,13,7,12,0,10,15,66.7,5,7,3,4,4,23,17,0,Match Report
401,Leeds United,2025-08-18,2,41,9,,Everton,eng Premier League,W 1-0,1,0,+1,54,0,1,1,0,1,20,0.00,0.00,2,10.0,18.1,0,427,534,80.0,12,38,6,3,44,7183,2300,218,251,86.9,151,177,85.3,41,72,56.9,15,7,9,2,4,12,18,66.7,6,9,3,6,9,24,28,0,Match Report
402,Everton,2025-08-18,1,37,17,@,Leeds United,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,0,7,0.00,0.00,1,14.3,14.5,1,349,450,77.6,3,25,4,2,28,6733,2297,129,155,83.2,183,215,85.1,37,69,53.6,16,12,12,3,1,9,15,60.0,6,17,10,7,2,18,32,2,Match Report
403,Arsenal,2025-08-17,3,24,12,@,Manchester Utd,eng Premier League,W 1-0,1,0,+1,39,1,0,0,0,1,9,0.11,0.33,3,33.3,18.6,1,239,331,72.2,5,14,5,0,24,4153,1845,115,135,85.2,97,123,78.9,24,57,42.1,18,10,11,6,1,4,13,30.8,9,12,8,4,4,22,29,0,Match Report
404,Manchester Utd,2025-08-17,7,57,9,,Arsenal,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,0,22,0.00,0.00,7,31.8,17.4,1,418,514,81.3,17,33,12,3,48,7571,2672,183,209,87.6,160,185,86.5,57,89,64.0,22,11,12,6,4,16,25,64.0,9,9,3,6,4,26,23,1,Match Report
405,Crystal Palace,2025-08-17,4,26,15,@,Chelsea,eng Premier League,D 0-0,0,0,0,29,0,0,0,0,0,11,0.00,0.00,4,36.4,27.0,0,184,257,71.6,5,12,1,0,16,3617,1736,75,90,83.3,79,97,81.4,26,56,46.4,16,13,11,4,1,12,24,50.0,12,15,10,5,7,23,43,1,Match Report
406,Brentford,2025-08-17,2,36,10,@,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,46,0,1,1,0,1,9,0.00,0.00,2,22.2,16.2,0,297,392,75.8,7,19,2,0,22,5730,2243,107,124,86.3,153,186,82.3,36,73,49.3,20,6,8,8,4,6,15,40.0,9,10,2,8,5,25,26,1,Match Report
