Rk,Team,Date,SoT,Cmp,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
11,Burnley,2026-01-07,1,32,18,,Manchester Utd,eng Premier League,D 2-2,2,2,0,35,1,0,0,0,1,7,0.14,1.00,1,14.3,18.4,1,256,347,73.8,6,18,3,0,21,4522,2009,112,129,86.8,95,109,87.2,32,71,45.1,16,10,8,5,3,6,22,27.3,16,18,9,9,7,23,25,2,Match Report
12,Newcastle Utd,2026-01-07,6,41,7,,Leeds United,eng Premier League,W 4-3,4,3,+1,62,3,1,1,0,4,17,0.18,0.50,6,35.3,13.5,0,499,601,83.0,14,39,11,3,47,8278,2694,227,253,89.7,200,226,88.5,41,78,52.6,14,11,4,7,3,6,14,42.9,8,7,3,4,9,23,33,4,Match Report
13,Manchester City,2026-01-07,3,42,9,,Brighton,eng Premier League,D 1-1,1,1,0,60,0,1,1,0,1,20,0.00,0.00,3,15.0,15.6,0,557,645,86.4,14,39,9,1,47,9289,3078,283,306,92.5,222,251,88.4,42,61,68.9,14,11,5,7,2,4,6,66.7,2,9,0,9,19,33,8,0,Match Report
14,Brentford,2026-01-07,6,42,8,,Sunderland,eng Premier League,W 3-0,3,0,+3,51,3,0,0,0,3,18,0.17,0.50,6,33.3,12.8,2,344,431,79.8,14,23,11,2,36,6137,2333,169,181,93.4,130,150,86.7,42,89,47.2,8,3,5,1,2,3,6,50.0,3,8,4,4,8,16,22,0,Match Report
15,Chelsea,2026-01-07,5,38,16,@,Fulham,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,1,14,0.07,0.20,5,35.7,13.6,0,409,499,82.0,10,25,9,1,32,6852,2097,187,200,93.5,167,185,90.3,38,84,45.2,13,9,5,6,2,10,22,45.5,12,16,7,9,8,21,30,0,Match Report
16,Brighton,2026-01-07,3,34,16,@,Manchester City,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,1,6,0.17,0.33,3,50.0,10.0,0,336,435,77.2,5,12,2,2,18,5640,2135,156,180,86.7,128,145,88.3,34,70,48.6,22,12,11,10,1,12,28,42.9,16,16,8,8,20,42,24,3,Match Report
17,Everton,2026-01-07,2,29,9,,Wolves,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,1,13,0.08,0.50,2,15.4,16.2,0,314,399,78.7,10,23,4,2,24,5785,1865,132,146,90.4,151,176,85.8,29,57,50.9,17,8,4,7,6,5,10,50.0,5,9,3,6,6,23,45,1,Match Report
18,Fulham,2026-01-07,5,40,11,,Chelsea,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,2,16,0.13,0.40,5,31.3,17.2,1,524,609,86.0,11,43,13,3,60,9200,2871,252,278,90.6,229,255,89.8,40,60,66.7,16,10,4,7,5,4,11,36.4,7,11,4,7,9,25,29,0,Match Report
19,West Ham,2026-01-06,3,37,12,,Nott'ham Forest,eng Premier League,L 1-2,1,2,-1,47,0,0,0,0,0,14,0.00,0.00,3,21.4,14.7,0,315,427,73.8,10,31,6,0,36,5995,2137,121,145,83.4,150,186,80.6,37,84,44.0,28,19,16,7,5,14,16,87.5,2,12,3,9,7,35,38,0,Match Report
20,Nott'ham Forest,2026-01-06,4,36,9,@,West Ham,eng Premier League,W 2-1,2,1,+1,53,1,1,1,0,2,12,0.08,0.25,4,33.3,18.2,0,364,477,76.3,9,43,8,2,50,6483,2537,151,164,92.1,164,200,82.0,36,77,46.8,15,9,9,2,4,6,8,75.0,2,9,5,4,6,21,32,1,Match Report
21,Manchester Utd,2026-01-04,2,29,17,@,Leeds United,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,1,15,0.07,0.50,2,13.3,17.6,0,435,560,77.7,11,34,8,1,35,7349,2504,216,251,86.1,187,226,82.7,29,72,40.3,25,15,15,6,4,12,16,75.0,4,17,2,15,8,33,40,0,Match Report
22,Tottenham,2026-01-04,4,54,13,,Sunderland,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,1,13,0.08,0.25,4,30.8,16.3,0,314,415,75.7,10,25,10,5,20,6237,2128,127,149,85.2,129,162,79.6,54,84,64.3,15,12,7,7,1,7,14,50.0,7,13,3,10,8,23,35,1,Match Report
23,Crystal Palace,2026-01-04,1,21,16,@,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,0,11,0.00,0.00,1,9.1,15.9,0,254,380,66.8,7,15,8,0,28,4161,1552,127,161,78.9,97,128,75.8,21,57,36.8,28,11,14,11,3,14,29,48.3,15,16,2,14,11,39,46,0,Match Report
24,Leeds United,2026-01-04,3,31,11,,Manchester Utd,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,1,11,0.09,0.33,3,27.3,19.3,0,328,470,69.8,8,31,9,2,41,5688,2660,151,189,79.9,140,173,80.9,31,79,39.2,18,10,5,10,3,7,12,58.3,5,11,4,7,17,35,23,0,Match Report
25,Liverpool,2026-01-04,2,39,7,@,Fulham,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,2,10,0.20,1.00,2,20.0,15.0,1,595,697,85.4,7,58,7,0,56,9990,2954,290,314,92.4,258,283,91.2,39,69,56.5,7,5,3,4,0,4,9,44.4,5,7,2,5,5,12,24,0,Match Report
26,Sunderland,2026-01-04,3,36,10,@,Tottenham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,1,10,0.10,0.33,3,30.0,15.9,0,320,431,74.2,8,23,11,3,33,6182,2219,114,138,82.6,160,190,84.2,36,72,50.0,17,13,8,5,4,6,16,37.5,10,10,2,8,9,26,30,1,Match Report
27,Newcastle Utd,2026-01-04,7,43,18,,Crystal Palace,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,2,12,0.17,0.29,7,58.3,12.1,0,434,549,79.1,8,35,11,3,49,7532,2776,203,229,88.6,181,210,86.2,43,79,54.4,16,9,8,3,5,4,12,33.3,8,18,5,13,7,23,37,0,Match Report
28,Manchester City,2026-01-04,3,37,14,,Chelsea,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,1,14,0.07,0.33,3,21.4,14.7,0,520,611,85.1,12,42,6,0,41,8089,2521,269,297,90.6,187,214,87.4,37,56,66.1,24,18,9,8,7,13,20,65.0,7,14,1,13,9,33,6,0,Match Report
29,Brentford,2026-01-04,7,29,15,@,Everton,eng Premier League,W 4-2,4,2,+2,54,4,0,0,0,4,11,0.36,0.57,7,63.6,17.9,0,386,497,77.7,9,26,6,4,22,6243,2425,195,215,90.7,150,174,86.2,29,81,35.8,16,8,7,8,1,5,18,27.8,13,15,6,9,10,26,23,2,Match Report
30,Chelsea,2026-01-04,3,23,14,@,Manchester City,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,1,8,0.13,0.33,3,37.5,9.1,0,389,469,82.9,4,13,4,1,17,6738,2238,172,190,90.5,188,205,91.7,23,42,54.8,20,10,12,5,3,6,15,40.0,9,14,5,9,14,34,24,2,Match Report
31,Everton,2026-01-04,5,38,11,,Brentford,eng Premier League,L 2-4,2,4,-2,46,2,0,0,0,2,14,0.14,0.40,5,35.7,14.0,0,312,417,74.8,13,24,10,6,28,5801,2381,145,170,85.3,122,148,82.4,38,73,52.1,24,15,10,7,7,12,18,66.7,6,11,2,9,7,31,22,2,Match Report
32,Fulham,2026-01-04,2,25,11,,Liverpool,eng Premier League,D 2-2,2,2,0,42,2,0,0,0,2,8,0.25,1.00,2,25.0,18.8,0,408,499,81.8,6,17,2,1,30,6611,2180,211,239,88.3,165,185,89.2,25,59,42.4,15,9,11,3,1,5,9,55.6,4,11,3,8,10,25,44,2,Match Report
33,Arsenal,2026-01-03,5,27,12,@,Bournemouth,eng Premier League,W 3-2,3,2,+1,57,3,0,0,0,3,12,0.25,0.60,5,41.7,17.5,0,387,500,77.4,10,32,5,0,44,6752,2307,174,215,80.9,181,205,88.3,27,62,43.5,25,11,12,11,2,12,20,60.0,8,12,5,7,7,32,32,2,Match Report
34,Bournemouth,2026-01-03,3,33,15,,Arsenal,eng Premier League,L 2-3,2,3,-1,43,2,0,0,0,2,15,0.13,0.67,3,20.0,22.1,1,277,381,72.7,9,29,7,4,33,5232,2106,114,131,87.0,129,157,82.2,33,78,42.3,16,12,10,5,1,10,17,58.8,7,15,4,11,4,20,35,1,Match Report
35,West Ham,2026-01-03,0,54,11,@,Wolves,eng Premier League,L 0-3,0,3,-3,66,0,0,0,0,0,6,0.00,,0,0.0,16.0,0,574,675,85.0,4,53,12,5,58,10292,3048,247,276,89.5,267,298,89.6,54,82,65.9,27,17,10,11,6,14,20,70.0,6,11,0,11,6,33,15,0,Match Report
36,Aston Villa,2026-01-03,4,28,6,,Nott'ham Forest,eng Premier League,W 3-1,3,1,+2,72,3,0,0,0,3,11,0.27,0.75,4,36.4,19.7,1,600,684,87.7,7,41,17,1,63,9409,2999,304,331,91.8,250,274,91.2,28,50,56.0,18,9,5,6,7,2,10,20.0,8,6,2,4,11,29,13,2,Match Report
37,Wolves,2026-01-03,7,20,8,,West Ham,eng Premier League,W 3-0,3,0,+3,34,2,1,1,0,3,10,0.20,0.29,7,70.0,17.9,0,260,349,74.5,8,14,4,3,9,4267,1747,133,155,85.8,94,115,81.7,20,49,40.8,23,12,17,6,0,10,18,55.6,8,8,0,8,9,32,32,0,Match Report
38,Burnley,2026-01-03,2,32,13,@,Brighton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,0,5,0.00,0.00,2,40.0,15.5,1,347,439,79.0,2,25,2,1,19,6040,2002,164,189,86.8,145,172,84.3,32,57,56.1,25,13,9,15,1,14,22,63.6,8,13,4,9,3,28,20,2,Match Report
39,Brighton,2026-01-03,4,26,9,,Burnley,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,2,15,0.13,0.50,4,26.7,16.6,1,560,637,87.9,10,28,5,2,39,8893,2966,277,306,90.5,240,253,94.9,26,43,60.5,17,10,8,6,3,8,16,50.0,8,9,1,8,6,23,24,0,Match Report
40,Nott'ham Forest,2026-01-03,5,25,14,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,28,1,0,0,0,1,10,0.10,0.20,5,50.0,18.7,0,178,262,67.9,7,7,2,0,14,3392,1464,80,100,80.0,70,89,78.7,25,55,45.5,19,8,12,5,2,11,15,73.3,4,14,4,10,14,33,29,2,Match Report
41,Tottenham,2026-01-01,2,30,11,@,Brentford,eng Premier League,D 0-0,0,0,0,44,0,0,0,0,0,9,0.00,0.00,2,22.2,16.0,0,337,442,76.2,6,25,7,1,32,6097,2308,143,160,89.4,159,195,81.5,30,77,39.0,18,13,9,8,1,8,11,72.7,3,11,2,9,10,28,31,1,Match Report
42,Crystal Palace,2026-01-01,2,30,15,,Fulham,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,1,11,0.09,0.50,2,18.2,14.6,0,314,424,74.1,7,26,7,0,30,5742,2000,130,156,83.3,147,178,82.6,30,64,46.9,14,9,7,5,2,7,12,58.3,5,15,6,9,9,23,30,1,Match Report
43,Leeds United,2026-01-01,2,20,14,@,Liverpool,eng Premier League,D 0-0,0,0,0,32,0,0,0,0,0,4,0.00,0.00,2,50.0,19.7,0,207,327,63.3,1,14,3,1,20,3638,1445,107,132,81.1,73,99,73.7,20,65,30.8,18,10,13,3,2,7,19,36.8,12,14,8,6,11,29,40,1,Match Report
44,Liverpool,2026-01-01,4,40,14,,Leeds United,eng Premier League,D 0-0,0,0,0,68,0,0,0,0,0,19,0.00,0.00,4,21.1,17.8,1,578,692,83.5,15,75,10,0,69,9361,2807,272,302,90.1,242,272,89.0,40,70,57.1,8,3,3,3,2,3,11,27.3,8,14,1,13,6,14,19,1,Match Report
45,Sunderland,2026-01-01,4,32,16,,Manchester City,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,0,10,0.00,0.00,4,40.0,15.7,0,242,335,72.2,6,24,8,1,27,4662,1974,104,124,83.9,98,127,77.2,32,65,49.2,18,15,8,8,2,10,26,38.5,16,16,5,11,17,35,32,0,Match Report
46,Manchester City,2026-01-01,4,40,9,@,Sunderland,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,0,14,0.00,0.00,4,28.6,12.4,0,579,687,84.3,9,48,14,4,55,9757,2798,276,303,91.1,257,290,88.6,40,70,57.1,23,17,11,9,3,8,17,47.1,9,9,2,7,12,35,22,1,Match Report
47,Brentford,2026-01-01,2,39,10,,Tottenham,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,0,7,0.00,0.00,2,28.6,16.7,1,450,562,80.1,4,37,5,1,42,7657,2787,205,235,87.2,192,214,89.7,39,81,48.1,18,12,3,10,5,9,18,50.0,9,10,5,5,9,27,20,0,Match Report
48,Fulham,2026-01-01,5,43,11,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,1,17,0.06,0.20,5,29.4,15.7,0,527,625,84.3,11,49,16,6,46,9975,3147,190,213,89.2,289,318,90.9,43,78,55.1,16,9,6,10,0,11,18,61.1,7,11,3,8,9,25,35,0,Match Report
49,Arsenal,2025-12-30,7,24,9,,Aston Villa,eng Premier League,W 4-1,4,1,+3,46,4,0,0,0,4,22,0.18,0.57,7,31.8,13.4,0,322,382,84.3,17,36,14,3,43,5475,1761,148,162,91.4,136,153,88.9,24,39,61.5,17,7,7,7,3,7,15,46.7,8,9,4,5,8,25,18,1,Match Report
50,Manchester Utd,2025-12-30,6,42,6,,Wolves,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,1,15,0.07,0.17,6,40.0,17.1,0,472,552,85.5,12,44,10,3,48,8531,2609,196,214,91.6,228,251,90.8,42,64,65.6,21,14,7,8,6,14,24,58.3,10,6,1,5,4,25,17,0,Match Report
51,Bournemouth,2025-12-30,6,26,15,@,Chelsea,eng Premier League,D 2-2,2,2,0,33,2,0,0,0,2,17,0.12,0.33,6,35.3,13.9,0,213,304,70.1,10,17,7,1,26,3734,1696,99,117,84.6,74,89,83.1,26,70,37.1,16,12,12,4,0,12,23,52.2,11,15,8,7,17,33,40,0,Match Report
52,West Ham,2025-12-30,3,40,9,,Brighton,eng Premier League,D 2-2,2,2,0,39,1,1,1,0,2,9,0.11,0.33,3,33.3,15.4,0,270,372,72.6,8,28,7,1,27,5012,2261,121,140,86.4,102,126,81.0,40,82,48.8,27,14,14,9,4,15,23,65.2,8,9,4,5,9,36,28,2,Match Report
53,Aston Villa,2025-12-30,3,19,11,@,Arsenal,eng Premier League,L 1-4,1,4,-3,54,1,0,0,0,1,11,0.09,0.33,3,27.3,14.2,0,378,446,84.8,7,16,5,1,21,6087,1914,171,184,92.9,167,191,87.4,19,38,50.0,10,3,7,3,0,4,9,44.4,5,11,7,4,3,13,17,3,Match Report
54,Wolves,2025-12-30,4,21,13,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,1,11,0.09,0.25,4,36.4,14.1,0,355,430,82.6,7,24,7,3,26,5604,1999,184,203,90.6,140,158,88.6,21,47,44.7,20,9,11,8,1,6,11,54.5,5,13,4,9,10,30,27,1,Match Report
55,Burnley,2025-12-30,3,25,16,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,1,15,0.07,0.33,3,20.0,18.3,0,365,473,77.2,15,27,7,0,28,5957,2018,179,204,87.7,149,178,83.7,25,68,36.8,21,14,4,15,2,10,16,62.5,6,16,8,8,11,32,27,3,Match Report
56,Newcastle Utd,2025-12-30,7,35,7,@,Burnley,eng Premier League,W 3-1,3,1,+2,52,3,0,0,0,3,20,0.15,0.43,7,35.0,15.6,0,413,509,81.1,10,24,6,1,26,7261,2614,197,223,88.3,176,201,87.6,35,69,50.7,19,10,7,10,2,12,17,70.6,5,7,4,3,11,30,37,2,Match Report
57,Chelsea,2025-12-30,2,37,10,,Bournemouth,eng Premier League,D 2-2,2,2,0,67,1,1,1,0,2,16,0.06,0.50,2,12.5,14.9,0,512,612,83.7,13,44,18,4,59,8438,3041,251,276,90.9,210,230,91.3,37,70,52.9,17,9,5,4,8,10,19,52.6,9,10,4,6,8,25,29,0,Match Report
58,Brighton,2025-12-30,5,38,14,@,West Ham,eng Premier League,D 2-2,2,2,0,61,1,1,2,1,2,14,0.07,0.20,5,35.7,23.0,1,489,588,83.2,11,42,6,1,49,8495,2719,195,213,91.5,241,276,87.3,38,64,59.4,13,10,4,7,2,3,7,42.9,4,14,2,12,16,29,24,1,Match Report
59,Everton,2025-12-30,3,38,14,@,Nott'ham Forest,eng Premier League,W 2-0,2,0,+2,31,2,0,0,0,2,11,0.18,0.67,3,27.3,17.5,0,236,328,72.0,8,18,7,2,22,4581,2229,108,122,88.5,87,106,82.1,38,85,44.7,23,11,10,10,3,9,25,36.0,16,14,7,7,9,32,56,0,Match Report
60,Nott'ham Forest,2025-12-30,6,34,11,,Everton,eng Premier League,L 0-2,0,2,-2,69,0,0,0,0,0,21,0.00,0.00,6,28.6,18.3,1,634,744,85.2,15,69,20,5,98,10128,3206,337,363,92.8,257,297,86.5,34,65,52.3,21,14,8,9,4,8,15,53.3,7,11,4,7,5,26,13,0,Match Report
61,Tottenham,2025-12-28,4,43,14,@,Crystal Palace,eng Premier League,W 1-0,1,0,+1,39,1,0,0,0,1,8,0.13,0.25,4,50.0,16.5,0,254,378,67.2,7,21,7,1,20,4938,2351,114,145,78.6,90,112,80.4,43,93,46.2,20,10,14,6,0,11,18,61.1,7,14,5,9,6,26,54,1,Match Report
62,Crystal Palace,2025-12-28,2,45,13,,Tottenham,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,0,15,0.00,0.00,2,13.3,16.5,0,457,599,76.3,14,48,11,3,65,8530,3005,162,200,81.0,231,260,88.8,45,93,48.4,16,11,3,6,7,9,17,52.9,8,13,0,13,7,23,24,1,Match Report
63,Leeds United,2025-12-28,5,40,12,@,Sunderland,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,1,17,0.06,0.20,5,29.4,15.3,0,455,561,81.1,16,29,9,1,38,7900,2598,201,224,89.7,198,217,91.2,40,77,51.9,14,8,4,7,3,10,15,66.7,5,12,2,10,6,20,23,0,Match Report
64,Sunderland,2025-12-28,3,40,18,,Leeds United,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,1,8,0.13,0.33,3,37.5,12.2,0,346,437,79.2,8,34,6,0,37,6368,2156,143,162,88.3,155,175,88.6,40,68,58.8,14,8,9,4,1,10,14,71.4,4,18,6,12,5,19,46,0,Match Report
65,Arsenal,2025-12-27,6,32,4,,Brighton,eng Premier League,W 2-1,2,1,+1,53,1,0,0,0,1,24,0.04,0.17,6,25.0,15.1,0,401,493,81.3,18,30,10,3,34,7094,2291,162,179,90.5,195,219,89.0,32,66,48.5,14,6,3,7,4,6,13,46.2,7,4,2,2,9,23,16,0,Match Report
66,Bournemouth,2025-12-27,9,39,14,@,Brentford,eng Premier League,L 1-4,1,4,-3,50,1,0,0,0,1,20,0.05,0.11,9,45.0,15.8,0,311,435,71.5,12,29,9,3,43,5686,2300,137,160,85.6,130,170,76.5,39,85,45.9,18,13,6,7,5,6,18,33.3,12,14,5,9,7,25,25,2,Match Report
67,West Ham,2025-12-27,2,36,15,,Fulham,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,0,11,0.00,0.00,2,18.2,15.9,0,353,451,78.3,6,27,11,1,40,6169,2444,171,191,89.5,141,161,87.6,36,71,50.7,29,17,13,12,4,13,20,65.0,7,15,6,9,9,38,29,1,Match Report
68,Liverpool,2025-12-27,4,30,10,,Wolves,eng Premier League,W 2-1,2,1,+1,66,2,0,0,0,2,14,0.14,0.50,4,28.6,15.9,0,607,702,86.5,11,62,9,2,67,9459,2995,334,357,93.6,233,264,88.3,30,56,53.6,19,16,4,14,1,9,11,81.8,2,10,1,9,9,28,22,0,Match Report
69,Aston Villa,2025-12-27,8,22,16,@,Chelsea,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,2,11,0.18,0.25,8,72.7,16.9,2,272,345,78.8,7,8,7,0,16,4631,2040,128,142,90.1,113,137,82.5,22,49,44.9,8,2,7,1,0,3,9,33.3,6,16,7,9,4,12,29,1,Match Report
70,Wolves,2025-12-27,4,31,7,@,Liverpool,eng Premier League,L 1-2,1,2,-1,34,1,0,0,0,1,9,0.11,0.25,4,44.4,18.3,0,272,362,75.1,7,21,3,1,30,5287,2009,101,128,78.9,139,154,90.3,31,75,41.3,16,10,11,5,0,8,21,38.1,13,7,3,4,8,24,25,0,Match Report
71,Burnley,2025-12-27,0,36,9,,Everton,eng Premier League,D 0-0,0,0,0,55,0,0,0,0,0,16,0.00,,0,0.0,19.1,0,380,516,73.6,9,39,7,1,46,6744,2781,182,219,83.1,155,195,79.5,36,81,44.4,22,12,8,11,3,18,24,75.0,6,9,3,6,4,26,35,0,Match Report
72,Manchester City,2025-12-27,5,25,7,@,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,65,2,0,0,0,2,16,0.13,0.40,5,31.3,19.4,0,553,631,87.6,15,53,10,2,56,8335,2191,305,324,94.1,206,229,90.0,25,46,54.3,14,8,4,9,1,11,17,64.7,6,7,3,4,4,18,35,0,Match Report
73,Brentford,2025-12-27,6,45,13,,Bournemouth,eng Premier League,W 4-1,4,1,+3,50,3,0,0,0,3,15,0.20,0.50,6,40.0,15.6,0,329,430,76.5,11,28,7,0,39,6198,2782,150,169,88.8,129,160,80.6,45,77,58.4,12,7,6,5,1,7,21,33.3,14,13,9,4,10,22,53,1,Match Report
74,Chelsea,2025-12-27,3,42,7,,Aston Villa,eng Premier League,L 1-2,1,2,-1,62,1,0,0,0,1,14,0.07,0.33,3,21.4,17.2,1,486,570,85.3,10,41,11,3,59,8377,2574,214,231,92.6,219,248,88.3,42,68,61.8,26,19,6,13,7,10,16,62.5,6,7,2,5,9,35,7,1,Match Report
75,Brighton,2025-12-27,3,34,16,@,Arsenal,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,1,8,0.13,0.33,3,37.5,16.1,0,354,437,81.0,4,27,4,1,29,6349,2250,149,165,90.3,164,190,86.3,34,68,50.0,16,13,6,9,1,6,16,37.5,10,16,9,7,5,21,28,3,Match Report
76,Everton,2025-12-27,6,36,16,@,Burnley,eng Premier League,D 0-0,0,0,0,45,0,0,0,0,0,15,0.00,0.00,6,40.0,16.2,0,318,429,74.1,10,31,8,2,27,6106,2160,134,157,85.4,148,177,83.6,36,85,42.4,25,14,13,10,2,13,20,65.0,7,16,7,9,11,36,47,1,Match Report
77,Nott'ham Forest,2025-12-27,2,40,11,,Manchester City,eng Premier League,L 1-2,1,2,-1,35,1,0,0,0,1,7,0.14,0.50,2,28.6,17.0,0,239,335,71.3,4,19,6,4,16,4681,1862,119,138,86.2,77,100,77.0,40,83,48.2,15,12,8,5,2,10,21,47.6,11,11,6,5,8,23,22,1,Match Report
78,Fulham,2025-12-27,5,42,11,@,West Ham,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,1,17,0.06,0.20,5,29.4,17.6,0,469,560,83.8,13,48,14,7,56,8285,2897,205,217,94.5,210,239,87.9,42,69,60.9,16,5,3,10,3,3,10,30.0,7,11,5,6,12,28,35,0,Match Report
79,Manchester Utd,2025-12-26,4,19,16,,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,34,1,0,0,0,1,10,0.10,0.25,4,40.0,15.4,0,271,359,75.5,8,21,1,1,19,4597,1639,140,160,87.5,109,131,83.2,19,54,35.2,20,8,14,4,2,12,23,52.2,11,16,7,9,18,38,50,0,Match Report
80,Newcastle Utd,2025-12-26,3,38,13,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,0,16,0.00,0.00,3,18.8,13.9,0,575,696,82.6,11,64,15,6,62,9408,2934,282,305,92.5,243,276,88.0,38,78,48.7,14,7,3,6,5,5,12,41.7,7,13,0,13,6,20,14,2,Match Report
81,Nott'ham Forest,2025-12-22,2,33,12,@,Fulham,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,0,12,0.00,0.00,2,16.7,20.5,0,435,538,80.9,11,41,10,1,44,7376,2481,221,241,91.7,178,202,88.1,33,82,40.2,10,5,5,4,1,4,12,33.3,8,12,6,6,8,18,16,1,Match Report
82,Fulham,2025-12-22,0,31,9,,Nott'ham Forest,eng Premier League,W 1-0,1,0,+1,49,0,1,1,0,1,10,0.00,,0,0.0,19.5,0,418,527,79.3,9,21,8,3,35,7240,2406,198,219,90.4,184,215,85.6,31,67,46.3,21,13,11,6,4,13,16,81.3,3,9,4,5,10,31,28,1,Match Report
83,Manchester Utd,2025-12-21,6,36,10,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,1,15,0.07,0.17,6,40.0,22.1,1,417,510,81.8,8,32,15,3,43,6872,2406,197,215,91.6,159,181,87.8,36,66,54.5,26,14,8,11,7,10,13,76.9,3,10,5,5,9,35,22,1,Match Report
84,Aston Villa,2025-12-21,4,19,12,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,2,12,0.17,0.50,4,33.3,17.9,0,289,375,77.1,10,10,3,1,16,4746,1820,145,156,92.9,117,140,83.6,19,58,32.8,18,10,7,11,0,10,18,55.6,8,12,3,9,7,25,25,2,Match Report
85,Arsenal,2025-12-20,0,41,4,@,Everton,eng Premier League,W 1-0,1,0,+1,65,0,1,1,0,1,12,0.00,,0,0.0,15.1,0,600,695,86.3,9,40,10,2,45,10191,2912,275,293,93.9,277,302,91.7,41,71,57.7,14,9,8,4,2,6,10,60.0,4,4,1,3,7,21,33,0,Match Report
86,Tottenham,2025-12-20,4,31,13,,Liverpool,eng Premier League,L 1-2,1,2,-1,35,1,0,0,0,1,15,0.07,0.25,4,26.7,17.3,1,264,359,73.5,12,27,4,3,24,4744,1712,123,138,89.1,102,127,80.3,31,70,44.3,11,7,4,4,3,5,13,38.5,8,13,3,10,7,18,35,1,Match Report
87,Crystal Palace,2025-12-20,2,20,11,@,Leeds United,eng Premier League,L 1-4,1,4,-3,46,0,1,1,0,1,8,0.00,0.00,2,25.0,19.9,0,295,392,75.3,6,25,7,1,36,5030,1940,132,148,89.2,135,157,86.0,20,59,33.9,22,13,8,13,1,9,15,60.0,6,11,7,4,6,28,60,1,Match Report
88,Bournemouth,2025-12-20,1,37,6,,Burnley,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,1,16,0.06,1.00,1,6.3,15.9,0,437,561,77.9,15,35,15,5,51,7445,2381,192,213,90.1,195,241,80.9,37,74,50.0,21,15,10,7,4,12,14,85.7,2,6,2,4,8,29,32,0,Match Report
89,Leeds United,2025-12-20,6,40,9,,Crystal Palace,eng Premier League,W 4-1,4,1,+3,54,4,0,0,0,4,20,0.20,0.67,6,30.0,14.3,1,355,463,76.7,8,18,5,1,34,6779,2393,117,141,83.0,184,210,87.6,40,83,48.2,15,11,5,7,3,5,10,50.0,5,9,3,6,7,22,30,0,Match Report
90,West Ham,2025-12-20,3,22,6,@,Manchester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,0,7,0.00,0.00,3,42.9,15.4,1,331,412,80.3,3,11,2,0,12,5117,1910,184,203,90.6,111,125,88.8,22,54,40.7,24,15,12,8,4,14,23,60.9,9,6,2,4,12,36,15,2,Match Report
