Rk,Team,Date,SoT,GF,Poss,Cmp,Succ,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
14,Sunderland,2025-08-30,2,2,54,36,4,4,,Brentford,eng Premier League,W 2-1,2,1,+1,54,1,1,1,0,2,11,0.09,0.50,2,18.2,18.4,0,360,460,78.3,5,34,6,3,39,6647,2436,155,174,89.1,163,187,87.2,36,80,45.0,9,4,44.4,3,33.3,28,14,9,10,9,14,22,63.6,8,4,1,3,7,35,35,0,Match Report
15,Burnley,2025-08-30,3,2,38,29,3,15,@,Manchester Utd,eng Premier League,L 2-3,2,3,-1,38,2,0,0,0,2,6,0.33,0.67,3,50.0,13.7,1,237,346,68.5,2,15,4,1,22,4331,1894,117,133,88.0,84,116,72.4,29,69,42.0,6,3,50.0,2,33.3,20,14,14,4,2,6,11,54.5,5,15,6,9,9,29,38,0,Match Report
16,Newcastle Utd,2025-08-30,2,0,57,49,5,13,@,Leeds United,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,0,8,0.00,0.00,2,25.0,20.4,0,498,603,82.6,7,39,5,1,52,9158,3232,211,236,89.4,234,263,89.0,49,88,55.7,16,5,31.3,8,50.0,10,4,4,6,0,5,12,41.7,7,13,3,10,8,18,7,1,Match Report
17,Brentford,2025-08-30,3,1,46,28,8,10,@,Sunderland,eng Premier League,L 1-2,1,2,-1,46,1,0,1,1,1,6,0.17,0.33,3,50.0,16.0,0,300,391,76.7,4,19,5,3,24,5186,1845,129,148,87.2,131,153,85.6,28,67,41.8,25,8,32.0,14,56.0,9,7,6,3,0,3,7,42.9,4,10,3,7,4,13,34,0,Match Report
18,Chelsea,2025-08-30,5,2,54,31,8,6,,Fulham,eng Premier League,W 2-0,2,0,+2,54,1,1,1,0,2,12,0.08,0.20,5,41.7,15.6,0,453,531,85.3,11,43,5,1,40,8046,2665,190,208,91.3,227,246,92.3,31,63,49.2,21,8,38.1,11,52.4,19,9,8,8,3,12,15,80.0,3,6,3,3,18,37,21,1,Match Report
19,Everton,2025-08-30,4,3,42,34,8,12,@,Wolves,eng Premier League,W 3-2,3,2,+1,42,3,0,0,0,3,10,0.30,0.75,4,40.0,17.1,0,298,410,72.7,9,20,8,0,35,5647,2101,121,139,87.1,136,167,81.4,34,81,42.0,21,8,38.1,12,57.1,16,11,6,9,1,8,11,72.7,3,12,5,7,16,32,28,2,Match Report
20,Fulham,2025-08-30,1,0,46,38,3,10,@,Chelsea,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,0,11,0.00,0.00,1,9.1,15.3,1,369,459,80.4,9,24,10,2,33,6603,2297,159,179,88.8,164,189,86.8,38,72,52.8,16,3,18.8,12,75.0,29,12,18,8,3,11,19,57.9,8,10,6,4,6,35,21,1,Match Report
21,Liverpool,2025-08-25,4,3,62,30,5,10,@,Newcastle Utd,eng Premier League,W 3-2,3,2,+1,62,3,0,0,0,3,5,0.60,0.75,4,80.0,19.3,0,390,478,81.6,5,29,7,1,37,6903,2384,182,196,92.9,174,203,85.7,30,66,45.5,10,5,50.0,3,30.0,13,8,9,4,0,9,17,52.9,8,10,3,7,0,13,42,2,Match Report
22,Newcastle Utd,2025-08-25,3,2,38,20,8,7,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,0,0,2,10,0.20,0.67,3,30.0,13.5,1,195,298,65.4,7,17,7,5,25,3294,1313,99,121,81.8,72,97,74.2,20,66,30.3,19,8,42.1,9,47.4,12,5,7,4,1,3,8,37.5,5,7,1,6,8,20,22,1,Match Report
23,Manchester Utd,2025-08-24,3,1,47,38,2,15,@,Fulham,eng Premier League,D 1-1,1,1,0,47,0,0,1,1,0,9,0.00,0.00,3,33.3,17.8,0,348,433,80.4,9,29,8,1,30,5977,1921,180,201,89.6,117,133,88.0,38,76,50.0,10,2,20.0,5,50.0,17,11,7,9,1,11,13,84.6,2,15,5,10,5,22,30,1,Match Report
24,Crystal Palace,2025-08-24,4,1,42,21,3,8,,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,1,8,0.13,0.25,4,50.0,13.4,0,307,413,74.3,7,20,10,4,34,5078,1797,145,167,86.8,131,157,83.4,21,62,33.9,8,3,37.5,4,50.0,20,11,7,7,6,12,18,66.7,6,8,1,7,7,27,24,0,Match Report
25,Brighton,2025-08-24,3,0,58,25,8,8,@,Everton,eng Premier League,L 0-2,0,2,-2,58,0,0,1,1,0,12,0.00,0.00,3,25.0,19.8,0,449,543,82.7,10,27,5,3,30,7454,2216,201,218,92.2,201,224,89.7,25,59,42.4,15,8,53.3,5,33.3,17,8,8,3,6,7,16,43.8,9,8,1,7,5,22,26,0,Match Report
26,Everton,2025-08-24,3,2,42,47,9,6,,Brighton,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,2,11,0.18,0.67,3,27.3,16.0,0,293,395,74.2,10,31,4,1,21,5813,2453,125,151,82.8,111,138,80.4,47,84,56.0,20,9,45.0,7,35.0,15,8,7,6,2,5,13,38.5,8,6,3,3,8,23,35,2,Match Report
27,Nott'ham Forest,2025-08-24,1,1,58,42,6,8,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,1,9,0.11,1.00,1,11.1,13.2,0,462,564,81.9,6,39,7,3,46,8235,2897,215,231,93.1,200,226,88.5,42,83,50.6,19,6,31.6,12,63.2,12,7,5,4,3,4,7,57.1,3,8,0,8,10,22,16,1,Match Report
28,Fulham,2025-08-24,3,1,53,37,2,5,,Manchester Utd,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,1,13,0.08,0.33,3,23.1,12.9,0,386,479,80.6,9,29,17,3,40,6666,2393,177,200,88.5,161,182,88.5,37,67,55.2,15,2,13.3,11,73.3,10,8,4,5,1,5,7,71.4,2,5,1,4,8,18,23,0,Match Report
29,Arsenal,2025-08-23,4,5,67,53,12,15,,Leeds United,eng Premier League,W 5-0,5,0,+5,67,4,1,1,0,5,17,0.24,1.00,4,23.5,15.2,0,582,647,90.0,12,36,9,3,43,10575,2813,237,254,93.3,286,311,92.0,53,69,76.8,26,12,46.2,12,46.2,12,8,5,4,3,7,11,63.6,4,15,2,13,5,17,7,0,Match Report
30,Tottenham,2025-08-23,5,2,39,31,8,9,@,Manchester City,eng Premier League,W 2-0,2,0,+2,39,2,0,0,0,2,12,0.17,0.40,5,41.7,14.5,1,282,367,76.8,7,19,5,3,22,5578,2013,97,111,87.4,151,167,90.4,31,74,41.9,24,8,33.3,15,62.5,24,16,10,8,6,8,15,53.3,7,9,3,6,7,31,27,1,Match Report
31,Bournemouth,2025-08-23,4,1,59,40,10,9,,Wolves,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,1,14,0.07,0.25,4,28.6,19.1,2,407,496,82.1,13,49,8,3,42,7309,2290,177,190,93.2,187,208,89.9,40,79,50.6,23,10,43.5,12,52.2,12,9,4,5,3,3,8,37.5,5,9,2,7,6,18,32,0,Match Report
32,Leeds United,2025-08-23,1,0,33,17,4,6,@,Arsenal,eng Premier League,L 0-5,0,5,-5,33,0,0,0,0,0,3,0.00,0.00,1,33.3,17.0,0,234,312,75.0,3,6,1,0,9,3551,1250,130,146,89.0,74,94,78.7,17,42,40.5,13,4,30.8,7,53.8,18,12,11,6,1,12,24,50.0,12,6,3,3,6,24,21,1,Match Report
33,Aston Villa,2025-08-23,2,0,76,53,8,3,@,Brentford,eng Premier League,L 0-1,0,1,-1,76,0,0,0,0,0,17,0.00,0.00,2,11.8,16.9,0,540,642,84.1,12,51,10,4,48,8955,2944,279,301,92.7,195,232,84.1,53,79,67.1,25,8,32.0,16,64.0,14,12,6,7,1,7,15,46.7,8,3,3,0,6,20,13,0,Match Report
34,Wolves,2025-08-23,1,0,41,38,5,12,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,0,6,0.00,0.00,1,16.7,16.8,1,250,349,71.6,4,24,6,3,21,5366,2193,92,113,81.4,118,151,78.1,38,75,50.7,9,5,55.6,3,33.3,21,14,15,6,0,12,22,54.5,10,12,5,7,9,30,32,1,Match Report
35,Sunderland,2025-08-23,1,0,58,47,2,10,@,Burnley,eng Premier League,L 0-2,0,2,-2,58,0,0,0,0,0,9,0.00,0.00,1,11.1,16.7,0,557,665,83.8,7,42,7,3,49,9301,2590,268,282,95.0,230,263,87.5,47,84,56.0,9,2,22.2,7,77.8,18,8,11,4,3,8,11,72.7,3,10,1,9,7,25,28,0,Match Report
36,Burnley,2025-08-23,2,2,42,24,3,18,,Sunderland,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,2,7,0.29,1.00,2,28.6,17.3,0,374,475,78.7,6,27,5,2,39,6102,1976,183,204,89.7,156,180,86.7,24,71,33.8,12,3,25.0,8,66.7,22,11,11,7,4,7,9,77.8,2,18,5,13,7,29,30,0,Match Report
37,Manchester City,2025-08-23,4,0,61,29,7,8,,Tottenham,eng Premier League,L 0-2,0,2,-2,61,0,0,0,0,0,10,0.00,0.00,4,40.0,16.3,0,488,572,85.3,8,29,8,3,44,7864,2493,231,248,93.1,212,234,90.6,29,61,47.5,17,7,41.2,8,47.1,20,10,9,8,3,15,23,65.2,8,8,2,6,6,26,23,2,Match Report
38,Brentford,2025-08-23,2,1,24,31,8,20,,Aston Villa,eng Premier League,W 1-0,1,0,+1,24,1,0,0,0,1,9,0.11,0.50,2,22.2,12.6,0,138,205,67.3,5,14,5,2,16,2918,1668,65,74,87.8,36,53,67.9,31,64,48.4,16,8,50.0,7,43.8,28,15,13,10,5,16,24,66.7,8,20,8,12,11,39,49,0,Match Report
39,West Ham,2025-08-22,4,1,42,27,5,7,,Chelsea,eng Premier League,L 1-5,1,5,-4,42,1,0,0,0,1,12,0.08,0.25,4,33.3,13.6,1,371,440,84.3,10,26,6,2,28,5982,2231,182,196,92.9,143,161,88.8,27,51,52.9,20,5,25.0,10,50.0,11,6,2,8,1,4,8,50.0,4,7,1,6,7,18,29,2,Match Report
